,date,title,source,link
2169,2020-08-13,"Richardson GMP, Cormark Securities announce ‘strategic alliance’",Globe,na
2170,2020-08-13,COVID-19: Soccer association aims to ease Edmonton parents’ worries ahead of registration,Edmonton_Journal,na
2171,2020-08-13,Posthaste: Soaring government debt isn’t as bad as the ‘90s fiscal crisis — but it’s getting there,Calgary_Herald,na
2172,2020-08-13,Russian energy minister doesn’t expect hasty OPEC+ decision on supply cuts this month: reports,Globe,na
2173,2020-08-13,"George Gosbee moved money from company to personal accounts, trustee alleges ",Globe,na
2174,2020-08-13,"In a first, Airbnb takes action against guest for unauthorized party",Globe,na
2175,2020-08-13,Trump’s aluminum tariffs have Glencore’s prints all over them,Globe,na
2176,2020-08-13,Thursday’s analyst upgrades and downgrades,Globe,na
2177,2020-08-13,Canada has a new chance to take charge in the future of globalism,Globe,na
2178,2020-08-13,"Federal wage subsidy program might cost $14-billion less than predicted, budget watchdog says ",Globe,na
2179,2020-08-13,Feds invest $2.6-million to help Alberta farmers turn their plants into protein,Edmonton_Journal,na
2180,2020-08-13,AMC to offer 15-cent movie tickets on first day of U.S. reopening,Globe,na
2181,2020-08-13,Pent-up demand drove housing sales in July and there may be more to come,National_Post,https://financialpost.com
2182,2020-08-13,Calgary rental company's betting big on Alberta,Calgary_Herald,na
2183,2020-08-13,"Task force proves ex-OSC head right about diversity. Now, Doug Ford must toughen the rules",Globe,na
2184,2020-08-13,Canada housing agency urges lenders to avoid risky borrowers,Globe,na
2185,2020-08-13,Oil slips after IEA lowers demand forecast,Globe,na
2186,2020-08-13,Chinese firms flood into U.S. IPOs despite delisting threat,Globe,na
2187,2020-08-13,Canada's airports likely to hike passenger fees as need for upgrades rise in the wake of pandemic,Calgary_Herald,na
2188,2020-08-13,Posthaste: Canada's soaring debt isn’t as bad as the ‘90s fiscal crisis yet — but it’s getting there,National_Post,https://financialpost.com
2189,2020-08-13,Twitter users can now control who replies to their tweet,Globe,na
2190,2020-08-13,CRTC providing $72-million to improve internet in 51 northern communities,Globe,na
2191,2020-08-13,IEA lowers 2020 oil demand forecast due to sharp drop in air travel,Globe,na
2192,2020-08-13,Canadian dollar rises to six-month high amid signs of global recovery,Globe,na
2193,2020-08-13,Why are there still so few Black lawyers on Bay Street?,Globe,na
2194,2020-08-13,Apple reportedly planning bundled subscriptions for digital services,Globe,na
2195,2020-08-13,Rob Carrick: Is now a good time for a 27-year-old to start investing?,Globe,na
2196,2020-08-13,"U.S. weekly unemployment claims fall below 1 million, but labour market recovery faltering",Globe,na
2197,2020-08-13,Holocaust survivor Marcel Adams made a fortune from shopping malls ,Globe,na
2198,2020-08-13,"Edmonton housing sales up in July, market appearing to rebound, says monthly report",Edmonton_Journal,na
2199,2020-08-13,Bay Street law firms bulk up on restructuring partners as more COVID-19 insolvencies expected,Globe,na
2200,2020-08-13,"CAE reports loss, plans restructuring, as pandemic clobbers aviation industry",Globe,na
2201,2020-08-13,"Varcoe: 'There's just no access to capital,' Painted Pony CEO says as company accepts takeover bid",Calgary_Herald,na
2202,2020-08-13,Canada defends role for oilsands projects in 'messy' energy transition,National_Post,https://financialpost.com
2203,2020-08-13,Why do Canadian investors have substandard access to justice after adviser misconduct?,Globe,na
2204,2020-08-13,Saskatchewan asks Ottawa to give power to entrepreneurs for rent relief,Globe,na
2205,2020-08-13,U.S. weekly unemployment claims fall below 1 million,Globe,na
2206,2020-08-13,"Howard Levitt: When there's a conflict, senior executives must declare it. Ex-McDonald's CEO Easterbrook did not",National_Post,https://financialpost.com
2207,2020-08-13,"With a broad work history, how might this customer service rep land her next role?",Globe,na
2208,2020-08-13,"If this recovery sustains, this recession could be shortest on record — or one of the longest - Financial Post Op-Ed",CD_Howe,https://www.cdhowe.org/expert-op-eds/if-recovery-sustains-recession-could-be-shortest-record-%E2%80%94-or-one-longest-financial-post-op-ed
2209,2020-08-13,Media mogul Sumner Redstone dead at 97,Globe,na
2210,2020-08-13,What can we expect for housing demand as economies re-open across the country?,CD_Howe,https://www.cdhowe.org/essential-public-policy-events/what-can-we-expect-housing-demand-economies-re-open-across-country
2211,2020-08-13,U.S. leaves tariffs on Airbus aircraft unchanged at 15%,Globe,na
2212,2020-08-13,CMHC says its share of mortgage market has shrunk to dangerous levels because of tougher rules,National_Post,https://financialpost.com
2213,2020-08-13,DoorDash faces injunction to reclassify California workers as employees,Globe,na
2214,2020-08-13,Brookfield Asset Management posts loss as it revalues real-estate portfolio,Globe,na
2215,2020-08-13,Chorus Aviation profit falls as Air Canada Express traffic plunges 97%,Globe,na
2216,2020-08-13,A wealth tax won’t work to fix the coming debt crisis: we need a consumption tax like the GST - Globe and Mail Op-Ed,CD_Howe,https://www.cdhowe.org/expert-op-eds/wealth-tax-won%E2%80%99t-work-fix-coming-debt-crisis-we-need-consumption-tax-gst-globe-and-mail-op-ed
2217,2020-08-13,Bank of Canada extends oversight to Interac's e-Transfer service,National_Post,https://financialpost.com
2218,2020-08-13,What role does the housing market play in sustaining Canada's financial stability?,CD_Howe,https://www.cdhowe.org/essential-public-policy-events/what-role-does-housing-market-play-sustaining-canadas-financial-stability
2219,2020-08-13,Robots at work: Shelf-stacking 'kangaroo-bot',Globe,na
2220,2020-08-13,"For this shopaholic millennial lawyer, lockdown on CERB was a financial wake-up call",National_Post,https://financialpost.com/personal-finance/young-money/shopaholic-millennial-lawyer-cerb-lockdown-financial-wakeup-call/wcm/4cba6103-39bc-444a-9f22-d6543603cb7e/
2221,2020-08-13,"Oilpatch wary of VP pick Kamala Harris, Green New Deal backer",National_Post,https://financialpost.com
2222,2020-08-13,Air Canada unveils new loyalty program that allows families to share benefits,National_Post,https://financialpost.com/transportation/airlines/air-canada-unveils-new-loyalty-program-that-allows-families-to-share-benefits/wcm/59c37b5c-ef1d-4578-95e7-2a25e8cfa877/
2223,2020-08-13,"The ABCs of Fiscal Accountability: Grading Canada’s Senior Governments, 2020",CD_Howe,https://www.cdhowe.org/public-policy-research/abcs-fiscal-accountability-grading-canada%E2%80%99s-senior-governments-2020
